"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Вакуум Живота",,"",0,"normal",,,,10,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Вакуум Живота",,"",1,"normal",,,,15,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Вакуум Живота",,"",2,"normal",,,,13,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Вакуум Живота",,"",3,"normal",,,,11,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим гантелей",,"",0,"warmup",25,8,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим гантелей",,"",1,"warmup",30,6,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим гантелей",,"",2,"warmup",45,2,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим гантелей",,"",3,"normal",50,10,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим гантелей",,"",4,"normal",50,10,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим гантелей",,"",5,"normal",50,10,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим гантелей",,"",6,"normal",50,6,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Сведение рук в кроссовере",,"",0,"normal",24,15,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Сведение рук в кроссовере",,"",1,"normal",24,15,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Сведение рук в кроссовере",,"",2,"normal",24,15,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Сведение рук в кроссовере",,"",3,"normal",24,15,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим сидя над головой (Гантель)",,"",0,"normal",30,12,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим сидя над головой (Гантель)",,"",1,"normal",30,12,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим сидя над головой (Гантель)",,"",2,"normal",30,12,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Жим сидя над головой (Гантель)",,"",3,"normal",30,12,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Боковые подъемы (Гантель)",,"",0,"normal",20,15,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Боковые подъемы (Гантель)",,"",1,"normal",20,15,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Боковые подъемы (Гантель)",,"",2,"normal",20,15,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Боковые подъемы (Гантель)",,"",3,"normal",20,15,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Разгибание рук на трицепс с канатом (блок)",,"",0,"normal",32,15,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Разгибание рук на трицепс с канатом (блок)",,"",1,"normal",32,11,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Разгибание рук на трицепс с канатом (блок)",,"",2,"normal",28,12,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Разгибание рук на трицепс с канатом (блок)",,"",3,"normal",28,12,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Скручивание (Тренажёр)",,"",0,"normal",65,20,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Скручивание (Тренажёр)",,"",1,"normal",80,20,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Скручивание (Тренажёр)",,"",2,"normal",80,20,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Скручивание (Тренажёр)",,"",3,"normal",80,20,,,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Вакуум Живота",,"",0,"normal",,,,10,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Вакуум Живота",,"",1,"normal",,,,10,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Вакуум Живота",,"",2,"normal",,,,13,
"PPUL-1","20 апр. 2026, 07:25","20 апр. 2026, 08:31","","Вакуум Живота",,"",3,"normal",,,,10,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Вакуум Живота",,"",0,"normal",,,,16,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Вакуум Живота",,"",1,"normal",,,,15,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Вакуум Живота",,"",2,"normal",,,,15,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Вакуум Живота",,"",3,"normal",,,,16,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Присед (Тренажёр)",,"Обратный",0,"warmup",60,8,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Присед (Тренажёр)",,"Обратный",1,"warmup",110,4,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Присед (Тренажёр)",,"Обратный",2,"warmup",150,2,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Присед (Тренажёр)",,"Обратный",3,"normal",180,10,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Присед (Тренажёр)",,"Обратный",4,"normal",180,10,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Присед (Тренажёр)",,"Обратный",5,"normal",180,10,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Присед (Тренажёр)",,"Обратный",6,"normal",180,10,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Болгарский выпад",,"",0,"normal",20,10,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Болгарский выпад",,"",1,"normal",20,10,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Болгарский выпад",,"",2,"normal",20,10,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Сгибание ног лежа (Тренажёр)",0,"",0,"normal",45,15,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Сгибание ног лежа (Тренажёр)",0,"",1,"normal",45,15,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Сгибание ног лежа (Тренажёр)",0,"",2,"normal",45,15,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Подъем носков стоя (Тренажёр)",0,"",0,"normal",70,15,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Подъем носков стоя (Тренажёр)",0,"",1,"normal",70,15,,,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Планка",,"Normal plank",0,"normal",,,,60,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Планка",,"Normal plank",1,"normal",,,,61,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Планка",,"Normal plank",2,"normal",,,,60,
"PPUL-5","17 апр. 2026, 07:15","17 апр. 2026, 08:07","","Вакуум Живота",,"",0,"normal",,,,8,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Вакуум Живота",,"",0,"normal",,,,10,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Вакуум Живота",,"",1,"normal",,,,16,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Вакуум Живота",,"",2,"normal",,,,22,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Вакуум Живота",,"",3,"normal",,,,14,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим гантелей",,"",0,"warmup",20,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим гантелей",,"",1,"warmup",30,4,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим гантелей",,"",2,"warmup",40,2,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим гантелей",,"",3,"normal",45,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим гантелей",,"",4,"normal",45,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим гантелей",,"",5,"normal",45,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим гантелей",,"",6,"normal",45,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Тяга Т грифа",,"",0,"warmup",20,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Тяга Т грифа",,"",1,"normal",40,4,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Тяга Т грифа",,"",2,"normal",45,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Тяга Т грифа",,"",3,"normal",45,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Тяга Т грифа",,"",4,"normal",45,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Тяга Т грифа",,"",5,"normal",45,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим Арнольда (Гантель)",,"",0,"normal",30,15,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим Арнольда (Гантель)",,"",1,"normal",30,15,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим Арнольда (Гантель)",,"",2,"normal",30,12,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Жим Арнольда (Гантель)",,"",3,"normal",30,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Боковой подъем (Тренажёр)",,"",0,"normal",12,10,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Боковой подъем (Тренажёр)",,"",1,"normal",12,12,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Боковой подъем (Тренажёр)",,"",2,"normal",12,12,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Боковой подъем (Тренажёр)",,"",3,"normal",12,12,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Обратный разводка (Гантель)",,"",0,"normal",15,15,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Обратный разводка (Гантель)",,"",1,"normal",15,15,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Обратный разводка (Гантель)",,"",2,"normal",15,15,,,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Боковая планка",,"",0,"normal",,,,72,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Боковая планка",,"",1,"normal",,,,72,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Боковая планка",,"",2,"normal",,,,72,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Вакуум Живота",,"",0,"normal",,,,10,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Вакуум Живота",,"",1,"normal",,,,11,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Вакуум Живота",,"",2,"normal",,,,11,
"PPUL-4","16 апр. 2026, 07:21","16 апр. 2026, 08:24","","Вакуум Живота",,"",3,"normal",,,,10,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вакуум Живота",,"",0,"normal",,,,9,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вакуум Живота",,"",1,"normal",,,,10,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вакуум Живота",,"",2,"normal",,,,17,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вакуум Живота",,"",3,"normal",,,,20,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вертикальная тяга Широчайшими (Блок)",,"",0,"warmup",20,10,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вертикальная тяга Широчайшими (Блок)",,"",1,"warmup",36,7,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вертикальная тяга Широчайшими (Блок)",,"",2,"warmup",52,2,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вертикальная тяга Широчайшими (Блок)",,"",3,"normal",60,10,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вертикальная тяга Широчайшими (Блок)",,"",4,"normal",60,10,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вертикальная тяга Широчайшими (Блок)",,"",5,"normal",60,8,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вертикальная тяга Широчайшими (Блок)",,"",6,"normal",56,10,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Рычажная тяга (Тренажёр)",,"",0,"normal",80,10,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Рычажная тяга (Тренажёр)",,"",1,"normal",80,10,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Рычажная тяга (Тренажёр)",,"",2,"normal",90,10,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Рычажная тяга (Тренажёр)",,"",3,"normal",90,12,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Обратный разводка (Гантель)",,"",0,"normal",15,15,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Обратный разводка (Гантель)",,"",1,"normal",15,15,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Обратный разводка (Гантель)",,"",2,"normal",15,15,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Обратный разводка (Гантель)",,"",3,"normal",15,15,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Сгибание рук на бицепс (Штанга)",,"",0,"normal",20,15,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Сгибание рук на бицепс (Штанга)",,"",1,"normal",20,10,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Сгибание рук на бицепс (Штанга)",,"",2,"normal",20,13,,,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вакуум Живота",,"",0,"normal",,,,10,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вакуум Живота",,"",1,"normal",,,,15,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вакуум Живота",,"",2,"normal",,,,17,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Вакуум Живота",,"",3,"normal",,,,14,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Планка",,"Rkc plank",0,"normal",,,,19,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Планка",,"Rkc plank",1,"normal",,,,20,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Планка",,"Rkc plank",2,"normal",,,,22,
"PPUL-2","14 апр. 2026, 07:18","14 апр. 2026, 08:17","","Планка",,"Rkc plank",3,"normal",,,,24,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Вакуум Живота",,"",0,"normal",,,,10,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Вакуум Живота",,"",1,"normal",,,,13,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Вакуум Живота",,"",2,"normal",,,,10,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Вакуум Живота",,"",3,"normal",,,,15,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим гантелей",,"",0,"warmup",20,8,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим гантелей",,"",1,"warmup",30,6,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим гантелей",,"",2,"warmup",40,2,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим гантелей",,"",3,"normal",45,10,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим гантелей",,"",4,"normal",45,10,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим гантелей",,"",5,"normal",45,10,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим гантелей",,"",6,"normal",45,10,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Сведение рук в кроссовере",,"",0,"normal",24,15,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Сведение рук в кроссовере",,"",1,"normal",24,13,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Сведение рук в кроссовере",,"",2,"normal",24,13,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Сведение рук в кроссовере",,"",3,"normal",24,12,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим сидя над головой (Гантель)",,"",0,"normal",25,12,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим сидя над головой (Гантель)",,"",1,"normal",25,12,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим сидя над головой (Гантель)",,"",2,"normal",25,12,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Жим сидя над головой (Гантель)",,"",3,"normal",25,12,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Боковые подъемы (Гантель)",,"",0,"normal",16,15,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Боковые подъемы (Гантель)",,"",1,"normal",16,15,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Боковые подъемы (Гантель)",,"",2,"normal",16,15,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Боковые подъемы (Гантель)",,"",3,"normal",16,15,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Разгибание рук на трицепс с канатом (блок)",,"",0,"dropset",24,15,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Разгибание рук на трицепс с канатом (блок)",,"",1,"dropset",24,15,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Разгибание рук на трицепс с канатом (блок)",,"",2,"dropset",24,13,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Разгибание рук на трицепс с канатом (блок)",,"",3,"dropset",24,14,,,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Вакуум Живота",,"",0,"normal",,,,10,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Вакуум Живота",,"",1,"normal",,,,10,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Вакуум Живота",,"",2,"normal",,,,10,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Вакуум Живота",,"",3,"normal",,,,10,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Планка",,"",0,"normal",,,,22,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Планка",,"",1,"normal",,,,21,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Планка",,"",2,"normal",,,,21,
"PPUL-1","13 апр. 2026, 07:26","13 апр. 2026, 08:27","","Планка",,"",3,"normal",,,,18,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Присед (Штанга)",,"",0,"warmup",20,10,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Присед (Штанга)",,"",1,"warmup",40,5,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Присед (Штанга)",,"",2,"warmup",70,2,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Присед (Штанга)",,"",3,"normal",80,8,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Присед (Штанга)",,"",4,"normal",80,8,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Присед (Штанга)",,"",5,"normal",80,8,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Присед (Штанга)",,"",6,"normal",80,8,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Румынская становая тяга (Штанга)",,"",0,"normal",70,8,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Румынская становая тяга (Штанга)",,"",1,"normal",70,10,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Румынская становая тяга (Штанга)",,"",2,"normal",70,10,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Румынская становая тяга (Штанга)",,"",3,"normal",70,10,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Обратный выпад (Штанга)",,"В смите, дискомфорт в колене",0,"normal",10,10,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Обратный выпад (Штанга)",,"В смите, дискомфорт в колене",1,"normal",10,10,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Обратный выпад (Штанга)",,"В смите, дискомфорт в колене",2,"normal",10,10,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Сгибание ног лежа (Тренажёр)",0,"",0,"normal",45,15,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Сгибание ног лежа (Тренажёр)",0,"",1,"normal",45,15,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Сгибание ног лежа (Тренажёр)",0,"",2,"normal",45,15,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Сгибание ног лежа (Тренажёр)",0,"",3,"normal",45,15,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Подъем носков стоя (Тренажёр)",0,"",0,"normal",70,15,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Подъем носков стоя (Тренажёр)",0,"",1,"normal",70,15,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Подъем носков стоя (Тренажёр)",0,"",2,"normal",70,15,,,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Вакуум Живота",,"",0,"normal",,,,8,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Вакуум Живота",,"",1,"normal",,,,10,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Вакуум Живота",,"",2,"normal",,,,11,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Вакуум Живота",,"",3,"normal",,,,9,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Планка",,"Rkc plank",0,"normal",,,,21,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Планка",,"Rkc plank",1,"normal",,,,21,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Планка",,"Rkc plank",2,"normal",,,,20,
"PPUL-5","10 апр. 2026, 07:11","10 апр. 2026, 08:18","","Планка",,"Rkc plank",3,"normal",,,,18,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Вакуум Живота",,"",0,"normal",,,,3,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Вакуум Живота",,"",1,"normal",,,,10,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Вакуум Живота",,"",2,"normal",,,,10,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Вакуум Живота",,"",3,"normal",,,,11,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим гантелей",,"",0,"warmup",20,10,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим гантелей",,"",1,"warmup",30,4,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим гантелей",,"",2,"warmup",40,2,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим гантелей",,"",3,"normal",45,10,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим гантелей",,"",4,"normal",45,10,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим гантелей",,"",5,"normal",45,10,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим гантелей",,"",6,"normal",45,8,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Тяга Т грифа",,"",0,"normal",40,10,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Тяга Т грифа",,"",1,"normal",45,10,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Тяга Т грифа",,"",2,"normal",45,10,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Тяга Т грифа",,"",3,"normal",45,10,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим Арнольда (Гантель)",,"",0,"normal",30,12,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим Арнольда (Гантель)",,"",1,"normal",30,12,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим Арнольда (Гантель)",,"",2,"normal",30,12,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Жим Арнольда (Гантель)",,"",3,"normal",30,12,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Боковые подъемы (Гантель)",,"",0,"normal",15,15,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Боковые подъемы (Гантель)",,"",1,"normal",15,15,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Боковые подъемы (Гантель)",,"",2,"normal",15,15,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Боковые подъемы (Гантель)",,"",3,"normal",15,15,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Обратный разводка (Гантель)",,"",0,"normal",15,15,,,
"PPUL-4","9 апр. 2026, 07:35","9 апр. 2026, 08:42","","Обратный разводка (Гантель)",,"",1,"normal",15,15,,,
